,Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
0,Chlorella sp,São Paulo,A,-22.0,-49.0,7.0,75.75582882509197
1,Reunion Island,exact,T,52.82891,-129.34032,9.0,38.12546245757918
2,Lake Hovsgol,exact,H,51.10697,100.48645,3.0,43.71309232240215
3,Talisayan harbor,Talisayan,P,1.61667,118.18333,11.0,37.51367810567656
4,Aotearoa New Zealand,New Zealand,A,-42.0,174.0,13.0,69.17158393851508
5,Qeshm Island,exact,T,26.6952,55.6183,25.0,24.6874197118237
6,Illinois,exact,A,40.00032,-89.25037,16.0,21.263520217818417
7,Alacranes,exact,L,22.74139,-81.60056,3.0,28.75747123784077
8,Macaronesia,exact,L,30.86667,-17.23333,2.0,48.08993241168641
9,Big Island Hawai'i,Allen Army Air Field,S,63.99444,-145.72028,9.0,56.036514829458184
10,Thames Estuary,exact,H,51.4863,0.80003,3.0,48.48328728578884
11,Ashley Cooper Rivers,Ashley,A,18.0144,-77.34019,2.0,56.57186875763226
12,Cabo Pulmo,exact,P,23.43718,-109.42924,9.0,10.044061230180233
13,Lamong Bay,exact,H,14.41667,122.0,9.0,54.62820494046107
14,South Indian Ocean Current,South,L,33.45876,-90.15081,3.0,32.7089856377989
15,Georgia,exact,A,41.99998,43.4999,23.0,55.59524004267063
16,Warnow,exact,P,53.7858,11.88106,24.0,40.50777197928529
17,Guangxi Province,Guangxi,A,24.0,109.0,9.0,75.23757710567963
18,Guanacaste,exact,A,10.5,-85.25,9.0,27.333238609787525
19,Falkland Islands,exact,A,-51.75,-59.16667,20.0,36.086287580959386
20,GoC,exact,L,7.7,34.58333,17.0,24.060902015085404
21,mountain karst spring,exact,H,46.2214,-114.02597,9.0,47.77948093290999
22,South-Eastern Mediterranean,South Easter,U,45.05016,-61.58184,3.0,50.428179497781684
23,Southern China,exact,H,57.06164,24.0265,24.0,56.442835535708646
24,AL,exact,L,40.65289,44.70007,3.0,23.969515572749224
25,Rossport,exact,P,48.8334,-87.51669,3.0,37.09264398886735
26,Kpeshie Lagoon,exact,H,5.56578,-0.13638,5.0,151.09829593007018
27,Coral Triangle,Coral,L,21.13333,-77.8,3.0,51.26473494886881
