Most Recurrent Value,Merged Class,Basin
15.0,14,North Indian
15.0,14,North Indian
NaN,NaN,
NaN,NaN,
NaN,NaN,
NaN,NaN,
15.0,14,North Indian
9.0,8,North Pacific
NaN,NaN,
NaN,NaN,
3.0,2,North Atlantic
NaN,NaN,
15.0,14,North Indian
9.0,8,North Pacific
17.0,16,Equatorial Indian
15.0,14,North Indian
18.0,18,South Indian
NaN,NaN,
17.0,16,Equatorial Indian
3.0,2,North Atlantic
NaN,NaN,
15.0,14,North Indian
10.0,10,Equatorial Pac
15.0,14,North Indian
22.0,22.0,Mediteranean
13.0,12,South Pacific
9.0,8,North Pacific
22.0,22.0,Mediteranean
NaN,NaN,
3.0,2,North Atlantic
12.0,12,South Pacific
NaN,NaN,
8.0,8,North Pacific
22.0,22.0,Mediteranean
3.0,2,North Atlantic
NaN,NaN,
NaN,NaN,
4.0,4,Equatorial Atlant
NaN,NaN,
2.0,2,North Atlantic
NaN,NaN,
NaN,NaN,
NaN,NaN,
NaN,NaN,
9.0,8,North Pacific
NaN,NaN,
9.0,8,North Pacific
9.0,8,North Pacific
NaN,NaN,
NaN,NaN,
NaN,NaN,
9.0,8,North Pacific
9.0,8,North Pacific
NaN,NaN,
8.0,8,North Pacific
NaN,NaN,
7.0,6,South Atlantic
3.0,2,North Atlantic
NaN,NaN,
NaN,NaN,
22.0,22.0,Mediteranean
3.0,2,North Atlantic
NaN,NaN,
9.0,8,North Pacific
NaN,NaN,
9.0,8,North Pacific
NaN,NaN,
NaN,NaN,
NaN,NaN,
NaN,NaN,
11.0,10,Equatorial Pac
9.0,8,North Pacific
9.0,8,North Pacific
NaN,NaN,
NaN,NaN,
5.0,4,Equatorial Atlant
16.0,16,Equatorial Indian
NaN,NaN,
NaN,NaN,
3.0,2,North Atlantic
3.0,2,North Atlantic
3.0,2,North Atlantic
NaN,NaN,
NaN,NaN,
9.0,8,North Pacific
NaN,NaN,
3.0,2,North Atlantic
3.0,2,North Atlantic
9.0,8,North Pacific
