,Year
0,2012
1,2012
2,2012
3,2012
4,2012
5,2012
6,2012
7,2012
8,2012
9,2012
10,2012
11,2012
12,2012
13,2012
14,2012
15,2012
16,2012
17,2012
18,2012
19,2012
20,2012
21,2012
22,2012
23,2012
24,2012
25,2012
26,2012
27,2012
28,2012
29,2012
30,2012
31,2012
32,2012
33,2012
34,2012
35,2012
36,2012
37,2012
38,2012
39,2012
40,2012
41,2012
42,2012
43,2012
44,2012
45,2012
46,2012
47,2012
48,2012
49,2012
50,2012
51,2012
52,2012
53,2012
54,2012
55,2012
56,2012
57,2012
58,2012
59,2012
60,2012
61,2012
62,2012
63,2012
64,2012
65,2012
66,2012
67,2012
68,2012
69,2012
70,2012
71,2012
72,2012
73,2012
74,2012
75,2012
76,2012
77,2012
78,2012
79,2012
80,2012
81,2012
82,2012
83,2012
84,2012
85,2012
86,2012
87,2012
88,2012
89,2012
90,2012
91,2012
92,2012
93,2012
94,2012
95,2012
96,2012
97,2012
98,2012
99,2012
100,2012
101,2012
102,2012
103,2012
104,2012
105,2012
106,2012
107,2012
108,2012
109,2012
110,2012
111,2012
112,2012
113,2012
114,2012
115,2012
116,2012
117,2012
118,2012
119,2012
120,2012
121,2012
122,2012
123,2012
124,2012
125,2012
126,2012
127,2012
128,2012
129,2012
130,2012
131,2012
132,2012
133,2012
134,2012
135,2012
136,2012
137,2012
138,2012
139,2012
140,2012
141,2012
142,2012
143,2012
144,2012
145,2012
146,2012
147,2012
148,2012
149,2012
150,2012
151,2012
152,2012
153,2012
154,2012
155,2012
156,2012
157,2012
158,2012
159,2012
160,2012
161,2012
162,2012
163,2012
164,2012
165,2012
166,2012
167,2012
168,2012
169,2012
170,2012
171,2012
172,2012
173,2012
174,2012
175,2012
176,2012
177,2012
178,2012
179,2012
180,2012
181,2012
182,2012
183,2012
184,2012
185,2012
186,2012
187,2012
188,2012
189,2012
190,2012
191,2012
192,2012
193,2012
194,2012
195,2012
196,2012
197,2012
198,2012
199,2012
200,2012
201,2012
202,2012
203,2012
204,2012
205,2012
206,2012
207,2012
208,2012
209,2012
210,2012
211,2012
212,2012
213,2012
214,2012
215,2012
216,2012
217,2012
218,2012
219,2012
220,2012
221,2012
222,2012
223,2012
224,2012
225,2012
226,2012
227,2012
228,2012
229,2012
230,2012
231,2012
232,2012
233,2012
234,2012
235,2012
236,2012
237,2012
238,2012
239,2012
240,2012
241,2012
242,2012
243,2012
244,2012
245,2012
246,2012
247,2012
248,2012
249,2012
250,2012
251,2012
252,2012
253,2012
254,2012
255,2012
256,2012
257,2012
258,2012
259,2012
260,2012
261,2012
262,2012
263,2012
264,2012
265,2012
266,2012
267,2012
268,2012
269,2012
270,2012
271,2012
272,2012
273,2012
274,2012
275,2012
276,2012
277,2012
278,2012
279,2012
280,2012
281,2012
282,2012
283,2012
284,2012
285,2012
286,2012
287,2012
288,2012
289,2012
290,2012
291,2012
292,2012
293,2012
294,2012
295,2012
296,2012
297,2012
298,2012
299,2012
300,2012
301,2012
302,2012
303,2012
304,2012
305,2012
306,2012
307,2012
308,2012
309,2012
310,2012
311,2012
312,2012
313,2012
314,2011
315,2011
316,2011
317,2011
318,2011
319,2011
320,2011
321,2011
322,2011
323,2011
324,2011
325,2011
326,2011
327,2011
328,2011
329,2011
330,2011
331,2011
332,2011
333,2011
334,2011
335,2011
336,2011
337,2011
338,2011
339,2011
340,2011
341,2011
342,2011
343,2011
344,2011
345,2011
346,2011
347,2011
348,2011
349,2011
350,2011
351,2011
352,2011
353,2011
354,2011
355,2011
356,2011
357,2011
358,2011
359,2011
360,2011
361,2011
362,2011
363,2011
364,2011
365,2011
366,2011
367,2011
368,2011
369,2011
370,2011
371,2011
372,2011
373,2011
374,2011
375,2011
376,2011
377,2011
378,2011
379,2011
380,2011
381,2011
382,2011
383,2011
384,2011
385,2011
386,2011
387,2011
388,2011
389,2011
390,2011
391,2011
392,2011
393,2011
394,2011
395,2011
396,2011
397,2011
398,2011
399,2011
400,2011
401,2011
402,2011
403,2011
404,2011
405,2011
406,2011
407,2011
408,2011
409,2011
410,2011
411,2011
412,2011
413,2011
414,2011
415,2011
416,2011
417,2011
418,2011
419,2011
420,2011
421,2011
422,2011
423,2011
424,2011
425,2011
426,2011
427,2011
428,2011
429,2011
430,2011
431,2011
432,2011
433,2011
434,2011
435,2011
436,2011
437,2011
438,2011
439,2011
440,2011
441,2011
442,2011
443,2011
444,2011
445,2011
446,2011
447,2011
448,2011
449,2011
450,2011
451,2011
452,2011
453,2011
454,2011
455,2011
456,2011
457,2011
458,2011
459,2011
460,2011
461,2011
462,2011
463,2011
464,2011
465,2011
466,2011
467,2011
468,2011
469,2011
470,2011
471,2011
472,2011
473,2011
474,2011
475,2011
476,2011
477,2011
478,2011
479,2011
480,2011
481,2011
482,2011
483,2011
484,2011
485,2011
486,2011
487,2011
488,2011
489,2011
490,2011
491,2011
492,2011
493,2011
494,2011
495,2011
496,2011
497,2011
498,2011
499,2011
500,2011
501,2011
502,2011
503,2011
504,2011
505,2011
506,2011
507,2011
508,2011
509,2011
510,2011
511,2011
512,2011
513,2011
514,2011
515,2011
516,2011
517,2011
518,2011
519,2011
520,2011
521,2011
522,2011
523,2011
524,2011
525,2011
526,2011
527,2011
528,2011
529,2011
530,2011
531,2011
532,2011
533,2011
534,2011
535,2011
536,2011
537,2011
538,2011
539,2011
540,2011
541,2011
542,2011
543,2011
544,2011
545,2011
546,2011
547,2011
548,2011
549,2011
550,2011
551,2011
552,2011
553,2011
554,2011
555,2011
556,2011
557,2011
558,2011
559,2011
560,2011
561,2011
562,2011
563,2011
564,2011
565,2011
566,2011
567,2011
568,2011
569,2011
570,2011
571,2011
572,2011
573,2011
574,2011
575,2011
576,2011
577,2011
578,2011
579,2011
580,2011
581,2011
582,2011
583,2011
584,2011
585,2011
586,2011
587,2011
588,2011
589,2010
590,2010
591,2010
592,2010
593,2010
594,2010
595,2010
596,2010
597,2010
598,2010
599,2010
600,2010
601,2010
602,2010
603,2010
604,2010
605,2010
606,2010
607,2010
608,2010
609,2010
610,2010
611,2010
612,2010
613,2010
614,2010
615,2010
616,2010
617,2010
618,2010
619,2010
620,2010
621,2010
622,2010
623,2010
624,2010
625,2010
626,2010
627,2010
628,2010
629,2010
630,2010
631,2010
632,2010
633,2010
634,2010
635,2010
636,2010
637,2010
638,2010
639,2010
640,2010
641,2010
642,2010
643,2010
644,2010
645,2010
646,2010
647,2010
648,2010
649,2010
650,2010
651,2010
652,2010
653,2010
654,2010
655,2010
656,2010
657,2010
658,2010
659,2010
660,2010
661,2010
662,2010
663,2010
664,2010
665,2010
666,2010
667,2010
668,2010
669,2010
670,2010
671,2010
672,2010
673,2010
674,2010
675,2010
676,2010
677,2010
678,2010
679,2010
680,2010
681,2010
682,2010
683,2010
684,2010
685,2010
686,2010
687,2010
688,2010
689,2010
690,2010
691,2010
692,2010
693,2010
694,2010
695,2010
696,2010
697,2010
698,2010
699,2010
700,2010
701,2010
702,2010
703,2010
704,2010
705,2010
706,2010
707,2010
708,2010
709,2010
710,2010
711,2010
712,2010
713,2010
714,2010
715,2010
716,2010
717,2010
718,2010
719,2010
720,2010
721,2010
722,2010
723,2010
724,2010
725,2010
726,2010
727,2010
728,2010
729,2010
730,2010
731,2010
732,2010
733,2010
734,2010
735,2010
736,2010
737,2010
738,2010
739,2010
740,2010
741,2010
742,2010
743,2010
744,2010
745,2010
746,2010
747,2010
748,2010
749,2010
750,2010
751,2010
752,2010
753,2010
754,2010
755,2010
756,2010
757,2010
758,2010
759,2010
760,2010
761,2010
762,2010
763,2010
764,2010
765,2010
766,2010
767,2010
768,2010
769,2010
770,2010
771,2010
772,2010
773,2010
774,2010
775,2010
776,2010
777,2010
778,2010
779,2010
780,2010
781,2010
782,2010
783,2010
784,2010
785,2010
786,2010
787,2010
788,2010
789,2010
790,2010
791,2010
792,2010
793,2010
794,2010
795,2010
796,2010
797,2010
798,2010
799,2010
800,2010
801,2010
802,2010
803,2010
804,2010
805,2010
806,2010
807,2010
808,2010
809,2010
810,2010
811,2010
812,2010
813,2010
814,2010
815,2010
816,2010
817,2010
818,2010
819,2010
820,2010
821,2010
822,2010
823,2010
824,2010
825,2010
826,2010
827,2010
828,2010
829,2010
830,2010
831,2010
832,2010
833,2010
834,2010
835,2010
836,2010
837,2010
838,2010
839,2010
840,2010
841,2010
842,2010
843,2010
844,2010
845,2010
846,2010
847,2010
848,2010
849,2010
850,2010
851,2010
852,2010
853,2010
854,2010
855,2010
856,2010
857,2009
858,2009
859,2009
860,2009
861,2009
862,2009
863,2009
864,2009
865,2009
866,2009
867,2009
868,2009
869,2009
870,2009
871,2009
872,2009
873,2009
874,2009
875,2009
876,2009
877,2009
878,2009
879,2009
880,2009
881,2009
882,2009
883,2009
884,2009
885,2009
886,2009
887,2009
888,2009
889,2009
890,2009
891,2009
892,2009
893,2009
894,2009
895,2009
896,2009
897,2009
898,2009
899,2009
900,2009
901,2009
902,2009
903,2009
904,2009
905,2009
906,2009
907,2009
908,2009
909,2009
910,2009
911,2009
912,2009
913,2009
914,2009
915,2009
916,2009
917,2009
918,2009
919,2009
920,2009
921,2009
922,2009
923,2009
924,2009
925,2009
926,2009
927,2009
928,2009
929,2009
930,2009
931,2009
932,2009
933,2009
934,2009
935,2009
936,2009
937,2009
938,2009
939,2009
940,2009
941,2009
942,2009
943,2009
944,2009
945,2009
946,2009
947,2009
948,2009
949,2009
950,2009
951,2009
952,2009
953,2009
954,2009
955,2009
956,2009
957,2009
958,2009
959,2009
960,2009
961,2009
962,2009
963,2009
964,2009
965,2009
966,2009
967,2009
968,2009
969,2009
970,2009
971,2009
972,2009
973,2009
974,2009
975,2009
976,2009
977,2009
978,2009
979,2009
980,2009
981,2009
982,2009
983,2009
984,2009
985,2009
986,2009
987,2009
988,2009
989,2009
990,2009
991,2009
992,2009
993,2009
994,2009
995,2009
996,2009
997,2009
998,2009
999,2009
1000,2009
1001,2009
1002,2009
1003,2009
1004,2009
1005,2009
1006,2009
1007,2009
1008,2009
1009,2009
1010,2009
1011,2009
1012,2009
1013,2009
1014,2009
1015,2009
1016,2009
1017,2009
1018,2009
1019,2009
1020,2009
1021,2009
1022,2009
1023,2009
1024,2009
1025,2009
1026,2009
1027,2009
1028,2009
1029,2009
1030,2009
1031,2009
1032,2009
1033,2009
1034,2009
1035,2009
1036,2009
1037,2009
1038,2009
1039,2009
1040,2009
1041,2009
1042,2009
1043,2009
1044,2009
1045,2009
1046,2009
1047,2009
1048,2009
1049,2009
1050,2009
1051,2009
1052,2009
1053,2009
1054,2009
1055,2009
1056,2009
1057,2009
1058,2009
1059,2009
1060,2009
1061,2009
1062,2009
1063,2009
1064,2009
1065,2009
1066,2009
1067,2009
1068,2009
1069,2009
1070,2009
1071,2009
1072,2009
1073,2009
1074,2009
1075,2009
1076,2009
1077,2009
1078,2009
1079,2009
1080,2009
1081,2009
1082,2009
1083,2009
1084,2009
1085,2009
1086,2009
1087,2009
1088,2009
1089,2009
1090,2009
1091,2009
1092,2009
1093,2009
1094,2009
1095,2009
1096,2008
1097,2008
1098,2008
1099,2008
1100,2008
1101,2008
1102,2008
1103,2008
1104,2008
1105,2008
1106,2008
1107,2008
1108,2008
1109,2008
1110,2008
1111,2008
1112,2008
1113,2008
1114,2008
1115,2008
1116,2008
1117,2008
1118,2008
1119,2008
1120,2008
1121,2008
1122,2008
1123,2008
1124,2008
1125,2008
1126,2008
1127,2008
1128,2008
1129,2008
1130,2008
1131,2008
1132,2008
1133,2008
1134,2008
1135,2008
1136,2008
1137,2008
1138,2008
1139,2008
1140,2008
1141,2008
1142,2008
1143,2008
1144,2008
1145,2008
1146,2008
1147,2008
1148,2008
1149,2008
1150,2008
1151,2008
1152,2008
1153,2008
1154,2008
1155,2008
1156,2008
1157,2008
1158,2008
1159,2008
1160,2008
1161,2008
1162,2008
1163,2008
1164,2008
1165,2008
1166,2008
1167,2008
1168,2008
1169,2008
1170,2008
1171,2008
