,Topic,Words,Frequency,Timestamp
0,1,"sea water intrusion, certain fundamentals, briefly sea, studies example intrusion, studies example",1,1953
1,2,"base runoff, base, curve, runoff, storage",1,1962
2,-1,"water, florida, artesian, southern florida, artesian water",1,1963
3,2,"open hole, hole, water, open, pumped",1,1963
4,6,"proportion cu fluctuating, periods accumulation, proportion cu, cu fluctuating, proportion",1,1963
5,0,"c14, claiborne group, claiborne, water, title",2,1965
6,1,"hodograph, equation, valid, salt water, copyright 1965 american",2,1965
7,1,"basins, sub basins, flow, tend, digital",1,1967
8,2,"mass transfer, transfer, flow, lakes, mass",1,1967
9,1,"interface, nonhomogeneous, 1968, anisotropic, 1968 taylor francis",3,1968
10,2,"ppm, interface occur, digha, 500 ppm, 300",1,1968
11,2,"water, sinkholes, salt water, tarpon, tarpon springs",1,1969
12,-1,"materials, relates engineering, construction red river, river basin particularly, discharge interfered groundwater",1,1970
13,1,"water intrusion length, 1970, intrusion length, length, solution",3,1970
14,2,"1968, drainage, drainage basin, discharge, method",1,1970
15,4,"optimal, determines, determines optimal, optimal design, project",1,1970
16,20,"feet, basin, acre feet, illinois, acre",1,1970
17,-1,"gold, solute gold, gold concentrations, gold barren, nondetectable 150 nanograms",1,1971
18,0,"major elements, elements, management, means, discussed",1,1971
19,1,"1971 american geophysical, 1971 american, 1971, copyright 1971 american, copyright 1971",4,1971
20,2,"water, water head, fresh water, fresh, sea",4,1971
21,-1,"reflectance, 109, free wave, hertz, horn antenna",1,1972
22,0,"safe yield, karstic solution, garraf, garraf range, safe",2,1972
23,1,"theory, seabottom, interface drain, 1855, arbitrary number",2,1972
24,2,"moderately cemented, cemented, sandstones, moderately, discharge",1,1972
25,6,"pyrrhotite, ore, stratigraphic, isotopic, compositional",1,1972
26,0,"pollution, aquifer consisting, consisting, israel, coastal aquifer",1,1973
27,1,"hele shaw, hele, shaw, finger, fingers",2,1973
28,2,"discharge, groundwater discharge, groundwater, ir, studying",4,1973
29,21,"ground water discharge, ground water, water discharge baltic, ground, baltic sea",1,1973
30,-1,"oceanic, oceanic crust, crust, dense, water",1,1974
31,0,"refs, refs japanese, japanese, groundwater, water",1,1974
32,1,"semipervious, 1974, copyright 1974, semipervious layer, interface",5,1974
33,2,"lindane, bhc, heptachlor, detected, p1",1,1974
34,-1,"pollution, hydraulic forces, pollution protection, exact solutions, close agreement",2,1975
35,1,"pervious stratum, stratum, pervious, axis, velocities",2,1975
36,2,"pingos, water, lenses, grow, ice",3,1975
37,0,"highly brackish, processes going area, water 250 open, aquifer kaniti paravada, water 250",1,1976
38,1,"interface, model, aquifer, flow, 1976",5,1976
39,2,"eakin, maxey eakin, maxey, 1976, groundwater",4,1976
40,-1,"springs, waikoropupu springs, waikoropupu, pulse, flow",1,1977
41,0,"orange county, orange, county, water, district",2,1977
42,1,"phreatic surface, phreatic, interface, interface phreatic surface, interface phreatic",5,1977
43,2,"stations, times greater stations, discharge littoral zone, flow rate varied, discharges stations eastern",1,1977
44,1,"semipervious, biem, flow, semipervious layer, phreatic",3,1978
45,2,"drainage, 1978, channel, recharge sources, head ratio",3,1978
46,3,"resistivity, thickness effect, thickness, apparent thickness, apparent thickness effect",2,1978
